N°;COMUNA;NOMBRE COMUNA;NOMBRE DE LA ORGANIZACIÓN;TIPO DE ORGANIZACIÓN;DANE ESTABLECIDO;TELÉFONO DE LA ORGANIZACIÓN;CORREO ELECTRÓNICO DE LA ORGANIZACIÓN;DIRECCIÓN FÍSICA DE LA ORGANIZACIÓN;NOMBRE DEL REPRESENTANTE LEGAL DE LA ORGANIZACIÓN;CARGO EN LA ORGANIZACIÓN;TELÉFONO Y CELULAR;NOMBRE DEL ENLACE DENTRO DE LA ORGANIZACIÓN;CARGO EN LA ORGANIZACIÓN;TELÉFONO Y CELULAR;CORREO ELECTRÓNICO;VALIDACION/SOCIALIZACION;FECHA ÚLTIMA ACTUALIZACIÓN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
207;7;ROBLEDO;INST EDUC CAMILO MORA CARRASQUILLA;IE ;105001015148;4384765;Sin registro;CL 62 D 94 B 74;LILIAM PATRICIA VILLEGAS ECHAVARRIA;RECTOR;4384765;LILIAM PATRICIA VILLEGAS ECHAVARRIA ;RECTOR;4384765;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
208;7;ROBLEDO;INST EDUC VALLEJUELOS;IE ;105001015831;4262975/4265964;Sin registro;CR 104 C 62 20;ELIANA CECILIA TORO VASQUEZ;RECTOR;4262975 - 4265964;ELIANA CECILIA TORO VASQUEZ;RECTOR;4262975/4265964;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
209;7;ROBLEDO;INST EDUC BARRIO SANTA MARGARITA;IE ;105001019330;4271046 - 4273895;Sin registro;CL 63 N°108 BB 160;BEATRIZ ELENA JIMENEZ HENAO;RECTOR;4271046;BEATRIZ ELENA JIMENEZ HENAO;RECTOR;4271046 - 4273895;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210;7;ROBLEDO;SEC ESC SANTA MARGARITA;IE ;105001021555;4271134;Sin registro;CR 105 B 62 68;BEATRIZ ELENA JIMENEZ HENAO;RECTOR;4271134;BEATRIZ ELENA JIMENEZ HENAO;RECTOR;4271134;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
211;7;ROBLEDO;SEC ESC PEDRO NEL OSPINA;IE ;105001000311;4270846;Sin registro;CL 62C Nº 105C 45;BEATRIZ ELENA JIMENEZ HENAO;RECTOR;4270846;BEATRIZ ELENA JIMENEZ HENAO;RECTOR;4270846;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
212;7;ROBLEDO;INST EDUC RAFAEL GARCIA HERREROS;IE ;105001020052;4263216;Sin registro;CL 64 91 20;FIBIAN JULIETH AGUILAR PACHON;RECTOR;4263216;FIBIAN JULIETH AGUILAR PACHON;RECTOR;4263216;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
213;7;ROBLEDO;INST EDUC VILLA FLORA;IE ;105001021547;2348424;Sin registro;CL 76 AE 83 C 41;CARLOS ALBERTO MAZO LOAIZA;RECTOR;2348424;CARLOS ALBERTO MAZO LOAIZA;RECTOR;2348424;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
214;7;ROBLEDO;INST EDUC BARRIO OLAYA HERRERA;IE ;305001022232;4210567;Sin registro;CR 101 C 58 44;DANIEL ENRIQUE MARIN CONGOTE;RECTOR;4210567;DANIEL ENRIQUE MARIN CONGOTE;RECTOR;4210567;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
215;7;ROBLEDO;INST EDUC RODRIGO ARENAS BENTANCUR;IE ;105001026719;2573809;Sin registro;CL 81 # 94AA - 15;FLOR DEISI AGUDELO DURANGO;RECTOR;2573809;FLOR DEISI AGUDELO DURANGO;RECTOR;2573809;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
216;10;LA CANDELARIA;GIMN GUAYACANES;IE ;305001007861;2933244-2930661-4620705;Sin registro;CL 77BB 82 69;ANA MARIA PACHECO JULIO;RECTOR;2396943 - 3117386298;ANA MARIA PACHECO JULIO;RECTOR;2933244-2930661-4620705;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
217;7;ROBLEDO;COL SAN JUAN EUDES;IE ;305001012181;2345349-2341590;Sin registro;CL 78 79 B 35;EDGAR DARIO RESTREPO;RECTOR;2345349;EDGAR DARIO RESTREPO;RECTOR;2345349-2341590;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
218;7;ROBLEDO;INST FERRINI - SEDE ROBLEDO;IE ;305001011761;2649333 - 4221790 ;Sin registro;CL 76 80 431;ARBEY OCAMPO PEREZ;RECTOR;4217000;ARBEY OCAMPO PEREZ;RECTOR;2649333 - 4221790 ;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
219;7;ROBLEDO;INST CORFERRINI - SEDE ROBLEDO;IE ;305001022178;2649333 - 4217000;Sin registro;CR 86 65A 38;MARIA LUZ DARY CHAVARRÍA CHAVARRÍA;RECTOR;2343406;LUZ DARY CHAVARRÍA CHAVARRÍA;RECTOR;2649333-4217000;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
220;7;ROBLEDO;COLEGIO LUIS AMIGO Y FERRER;IE ;305001026343;4460612 - 4485168;Sin registro;CL 65 C 94 C 80;CARLOS MAURICIO AGUDELO GALLEGO;RECTOR;4485168;CARLOS MAURICIO AGUDELO GALLEGO;RECTOR;4460612-4485168;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
221;8;VILLA HERMOSA;INST EDUC JUAN DE LA CRUZ POSADA;IE ;105001000353;2549659;Sin registro;CL 62 39 22;ADOLFO LEON GONZALEZ OSPINA;RECTOR;2549659;ADOLFO LEON GONZALEZ OSPINA;RECTOR;2549659;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
222;8;VILLA HERMOSA;SEC ESC HIPOLITO LONDOÑO MESA;IE ;105001003158;2925480;Sin registro;CR 40 59 A 52;ADOLFO LEON GONZALEZ OSPINA;RECTOR;2549659;ADOLFO LEON GONZALEZ OSPINA;RECTOR;2925480;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
223;8;VILLA HERMOSA;SEC ESC FRANCISCO ANTONIO URIBE;IE ;105001002836;2545366;Sin registro;CL 66 39 75;DORIAN ALEXANDER AGUDELO OROZCO;RECTOR;2545366;DORIAN ALEXANDER AGUDELO OROZCO;RECTOR;2545366;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
224;8;VILLA HERMOSA;SEC COL AGUSTIN NIETO CABALLERO;IE ;105001002577;2926320;Sin registro;CR 40 59 A 21;ADOLFO LEON GONZALEZ OSPINA;RECTOR;2549659;ADOLFO LEON GONZALEZ OSPINA;RECTOR;2926320;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
225;8;VILLA HERMOSA;INST EDUC CARACAS;IE ;105001000566;2168993;Sin registro;CL 54 33 67;NIDIA DEL SOCORRO GÓMEZ TORO;RECTOR;2168993;NIDIA DEL SOCORRO GÓMEZ TORO;RECTOR;2168993;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
226;8;VILLA HERMOSA;SEC ESC BEATO HERMANO SALOMON;IE ;105001002062;2695371;Sin registro;CL 53 27 A 50;NIDIA DEL SOCORRO GÓMEZ TORO;RECTOR;2168993;NIDIA DEL SOCORRO GÓMEZ TORO;RECTOR;2695371;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
227;8;VILLA HERMOSA;INST EDUC ESCUELA NORMAL SUPERIOR DE MEDELLIN;IE ;105001000621;4039040;Sin registro;CR 34 65 02;CARLOS ADIEL HENAO PULGARÍN;RECTOR;4039040;CARLOS ADIEL HENAO PULGARÍN;RECTOR;4039040;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
228;8;VILLA HERMOSA;INST EDUC JOSE CELESTINO MUTIS;IE ;105001001651;2540988;Sin registro;CL 65 45 15;CELENYS CUESTA CAICEDO;RECTOR;2540988;CELENYS CUESTA CAICEDO;RECTOR;2540988;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
229;8;VILLA HERMOSA;INST EDUC GABRIEL GARCIA MARQUEZ;IE ;105001002356;2260583/2261735;Sin registro;CR 8 A 57 A 93;JOSE DE LA HOZ MUENTES PEÑAFIEL;RECTOR;2260583;JOSE DE LA HOZ MUENTES PEÑAFIEL;RECTOR;2260583/2261735;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
230;8;VILLA HERMOSA;SEC ESC SAN VICENTE DE PAUL;IE ;105001015849;2210507;Sin registro;CR 6F    54-133;JOSE DE LA HOZ MUENTES PEÑAFIEL;RECTOR;2260583;JOSE DE LA HOZ MUENTES PEÑAFIEL;RECTOR;2210507;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
231;8;VILLA HERMOSA;INST EDUC SAN FRANCISCO DE ASIS;IE ;105001002780;2690520;Sin registro;CL 56 16 18;WUALIS IGNACIO ARROYO MARTINEZ;RECTOR;2690520;WUALIS IGNACIO ARROYO MARTINEZ;RECTOR;2690520;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
232;8;VILLA HERMOSA;INST EDUC JUAN DE DIOS CARVAJAL;IE ;105001005410;2840808;Sin registro;CL 65 AA 36 39;DORIAN ALEXANDER AGUDELO OROZCO;RECTOR;2840808;DORIAN ALEXANDER AGUDELO OROZCO;RECTOR;2840808;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
233;8;VILLA HERMOSA;SEC ESC BATALLON GIRARDOT;IE ;105001005410;2546018;Sin registro;CL 66 D 39 A 20;DORIAN ALEXANDER AGUDELO OROZCO;RECTOR;2840808;DORIAN ALEXANDER AGUDELO OROZCO;RECTOR;2546018;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
234;8;VILLA HERMOSA;INST EDUC FELIX HENAO BOTERO;IE ;105001009709;2260203;Sin registro;CL 52 NRO 23 51;JUAN CARLOS GAVIRIA CAMPUZANO;RECTOR;2260203;JUAN CARLOS GAVIRIA CAMPUZANO;RECTOR;2260203;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
235;8;VILLA HERMOSA;SEC ESC REPUBLICA DEL PERU;IE ;105001000299;2699584;Sin registro;CL 52    23-114;JUAN CARLOS GAVIRIA CAMPUZANO;RECTOR;2699584;JUAN CARLOS GAVIRIA CAMPUZANO;RECTOR;2699584;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
236;8;VILLA HERMOSA;SEC ESC MIGUEL DE AGUINAGA;IE ;105001002950;2691841;Sin registro;CL 52 16 71;JUAN CARLOS GAVIRIA CAMPUZANO;RECTOR;2691841;JUAN CARLOS GAVIRIA CAMPUZANO;RECTOR;2691841;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
237;8;VILLA HERMOSA;SEC ESC JULIA AGUDELO;IE ;105001002429;2841315;Sin registro;CL 58 28 58;MÓNICA ROSA LONDOÑO ZULÚAGA;RECTOR;2841315;MÓNICA ROSA LONDOÑO ZULUAGA;RECTOR;2841315;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
238;8;VILLA HERMOSA;SEC ESC SANTIAGO SANTAMARIA;IE ;105001008222;2841231;Sin registro;CL 58  29 31;MÓNICA ROSA LONDOÑO ZULÚAGA;RECTOR;2841231;MÓNICA ROSA LONDOÑO ZULUAGA;RECTOR;2841231;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
239;8;VILLA HERMOSA;INST EDUC LA LIBERTAD;IE ;105001015211;2267949;Sin registro;DG 17 DD 56 B 49;MARIA PATRICIA QUINTERO GOMEZ;RECTOR;2267949;MARIA PATRICIA QUINTERO GOMEZ;RECTOR;2267949;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240;8;VILLA HERMOSA;INST EDUC LA SIERRA;IE ;105001026581;2218029-2145397;Sin registro;CL 56B 4E 10;GLORIA INES HURTADO PEREZ;RECTOR;2218029;GLORIA INES HURTADO PEREZ;RECTOR;2218029-2145397;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
241;8;VILLAHERMOSA;SEC ESC VILLA TURBAY;IE ;105001015229;2218029-2145397;ie.villaturbay@medelllin.gov.co;CR 2 55 F 17;IVAN DARIO ZULUAGA ZULUAGA;RECTOR;2698211;IVAN DARIO ZULUAGA ZULUAGA;RECTOR;2698211;ie.villaturbay@medelllin.gov.co;INHABILITADO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
242;8;VILLAHERMOSA;INST EDUC VIDA PARA TODOS;IE ;105001019089;2260591;Sin registro;cR 12 52 44;DAVID FERNANDO CORTEZ GRANADOS;RECTOR;2260591;DAVID FERNANDO CORTÉS GRANADOS;RECTOR;2260571;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
243;8;VILLAHERMOSA;SEC ESC HOGAR ANTIOQUIA;IE ;105001019089 (105001002879);2260631;Sin registro;CR 12 52 42;DAVID FERNANDO CORTEZ GRANADOS;RECTOR;2260631;DAVID FERNANDO CORTES GRANADOS;RECTOR;2260631;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
244;8;VILLAHERMOSA;SEC ESC SOR MARIA LUISA COURBIN;IE ;105001019089( 105001002267);2260571;Sin registro;CR 12 52 44;DAVID FERNANDO CORTEZ GRANADOS;RECTOR;2260571;DAVID FERNANDO CORTES GRANADOS;RECTOR;2260571;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
245;8;VILLAHERMOSA;INST EDUC LUIS CARLOS GALAN SARMIENTO;IE ;105001019429;2848292;comunicaciones@ieluiscarlosgalansarmiento.edu.co;CR 24 B 57EE 45;CARLOS ANTONIO OLIVEROS MUÑOZ;RECTOR;2848292;CARLOS A. OLIVEROS MUÑOZ;RECTOR;2848292;comunicaciones@ieluiscarlosgalansarmiento.edu.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
246;8;VILLAHERMOSA;SEC ESC NIÑO JESUS DE PRAGA;IE ;105001019429(105001008001);2842112;comunicaciones@ieluiscarlosgalansarmiento.edu.co;CL 57 C 23 200;CARLOS ANTONIO OLIVEROS MUÑOZ;RECTOR;2842112;CARLOS A. OLIVEROS MUÑOZ;RECTOR;2842112;comunicaciones@ieluiscarlosgalansarmiento.edu.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
247;8;VILLAHERMOSA;SEC ESC COLINAS DE ENCISO;IE ;105001019429 (105001018309);2847983;comunicaciones@ieluiscarlosgalansarmiento.edu.co;CR 24B 57EE-20;CARLOS ANTONIO OLIVEROS MUÑOZ;RECTOR;2847983;CARLOS A. OLIVEROS MUÑOZ;RECTOR;2847983;comunicaciones@ieluiscarlosgalansarmiento.edu.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
248;8;VILLAHERMOSA;INST EDUC SOL DE ORIENTE;IE ;105001021873;2914389/2546176 ext 101,102;ssoldeoriente@gmail.com;CR 23 56EH 200;MARÍA LUCELY GIRALDO JIMÉNEZ;RECTOR;2914389- 2546176 ext 101-102;MARÍA LUCELY GIRALDO JIMÉNEZ;RECTOR;2914389/2546176 ext 101,102;ssoldeoriente@gmail.com;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
249;8;VILLAHERMOSA;SEC ESC BEATO DOMINGO ITURRATE;IE ;105001021873 (105001016462);2845867;ssoldeoriente@gmail.com;CR 18E 56FA-09;MARÍA LUCELY GIRALDO JIMÉNEZ;RECTOR;2845867;MARÍA LUCELY GIRALDO JIMÉNEZ;RECTOR;2845867;ssoldeoriente@gmail.com;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
250;8;VILLAHERMOSA;INST EDUC JOAQUIN VALLEJO ARBELAEZ;IE ;105001025771;2926199;colegiodecalidad@iejva.edu.co;CR 19 59 C 175;CARLOS MARIO GIRALDO JIMENEZ;RECTOR;2926199;CARLOS MARIO GIRALDO JIMENEZ;RECTOR;2926199;colegiodecalidad@iejva.edu.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
251;8;VILLAHERMOSA;SEC ESC LAS GOLONDRINAS;IE ;105001025771 (105001017400);2845326;colegiodecalidad@iejva.edu.co;CL 65 16 D 198;CARLOS MARIO GIRALDO JIMENEZ;RECTOR;2845326;CARLOS MARIO GIRALDO JIMENEZ;RECTOR;2845326;colegiodecalidad@iejva.edu.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
252;8;VILLAHEMROSA;SEC ESC ALTOS DE LA TORRE;IE ;105001025771 (105001026743);2845326;colegiodecalidad@iejva.edu.co;CL 57 B 16 B139;CARLOS MARIO GIRALDO JIMENEZ;RECTOR;2845326;CARLOS MARIO GIRALDO JIMENEZ;RECTOR;2845326;colegiodecalidad@iejva.edu.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
253;8;VILLAHERMOSA;INST EDUC EL PINAL;IE ;105001026131;2223647;sgc@iepinal.edu.co;CL 56 25AA 10;JAIRO CHAVARRO MENDEZ;RECTOR;2223647;JAIRO CHAVARRO MENDEZ;RECTOR;2223647;sgc@iepinal.edu.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
254;8;VILLAHERMOSA;SEC ESC EL PINAL;IE ;105001026131 (105001017396);2210099;sgc@iepinal.edu.co;CL 56 EE 25AA-17;JAIRO CHAVARRO MENDEZ;RECTOR;2210099;JAIRO CHAVARRO MENDEZ;RECTOR;2210099;sgc@iepinal.edu.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
255;8;VILLAHERMOSA;SEC ESC LAS ESTANCIAS;IE ;305001019690 ( 105001007901);2261590;ie.tuliobotero@medellin.gov.co;CL 52 4 38;BENJAMIN MARTINEZ LEMOS;RECTOR;2261590;BENJAMIN MARTINEZ LEMOS;RECTOR;2261590;ie.tuliobotero@medellin.gov.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
256;8;VILLAHERMOSA;COL BASICO CAMINO DE PAZ;IE ;305001025185;2923804 2915075;caminodepaz@epm.net.co;CL 59 C 19 56;MARIA ADELAIDA LOPEZ JARAMILLO;RECTOR;2923804 2915075;MARIA ADELAIDA LOPEZ JARAMILLO;RECTOR;2394136-2390768;caminodepaz@epm.net.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
257;9;BUENOS AIRES;INST EDUC GONZALO RESTREPO JARAMILLO;IE ;105001000990;2697940 2696380;iegonzalorestrepo@hotmail.com;CR 26 49 70; ALVARO CUERVO MONTOYA;RECTOR;2697940 2696380;ALVARO CUERVO MONTOYA;RECTOR;2696380 2697202;iegonzalorestrepo@hotmail.com;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
258;9;BUENOS AIRES;SEC ESC JUAN CANCIO RESTREPO;IE ;105001000990 (105001000540);2391959;iegonzalorestrepo@hotmail.com;CL 45 31 63; ALVARO CUERVO MONTOYA;RECTOR;2391959;ALVARO CUERVO MONTOYA;RECTOR;2391959;iegonzalorestrepo@hotmail.com;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
259;9;BUENOS AIRES;SEC ESC LA ANUNCIACION;IE ;105001000990(105001001147);2213615;iegonzalorestrepo@hotmail.com;CR 21 40-80; ALVARO CUERVO MONTOYA;RECTOR;2213615;ALVARO CUERVO MONTOYA;RECTOR;2213615;iegonzalorestrepo@hotmail.com;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
260;9;BUENOS AIRES;INST EDUC ASAMBLEA DEPARTAMENTAL;IE ;105001011631;2699679;ie.asamblea@medellin.gov.co - ie.asamblea@gmail.com;CR 27 47 45;JUAN CARLOS AGUDELO SOSA;RECTOR;2699679;JUAN CARLOS AGUDELO SOSA;RECTOR;2699679;ie.asamblea@medellin.gov.co - ie.asamblea@gmail.com;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
261;9;BUENOS AIRES;SEC ESC ALEJANDRO ECHAVARRIA;IE ;105001011631(105001000302);2694523;ie.asamblea@medellin.gov.co - ie.asamblea@gmail.com;CR 30  50 07;JUAN CARLOS AGUDELO SOSA;RECTOR;2694523;JUAN CARLOS AGUDELO SOSA;RECTOR;2694523;ie.asamblea@medellin.gov.co - ie.asamblea@gmail.com;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
262;9;BUENOS AIRES;SEC LIC LEON DE GREIFF;IE ;105001011631(105001002810);2697182;ie.asamblea@medellin.gov.co - ie.asamblea@gmail.com;CR 30 50 16;JUAN CARLOS AGUDELO SOSA;RECTOR;2697182;JUAN CARLOS AGUDELO SOSA;RECTOR;2697182;ie.asamblea@medellin.gov.co - ie.asamblea@gmail.com;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
263;9;BUENOS AIRES;INST EDUC MIRAFLORES - LUIS EDUARDO VALENCIA GARCIA;IE ;105001019674;2697583 2273199;iemiraflores@gmail.com;CL 48 27 05;BLANCA NOHEMY BENJUMEA ZULUAGA;RECTOR;2697583 2273199;BLANCA NOHEMY BENJUMEA ZULUAGA;RECTOR;2697583 2273199;iemiraflores@gmail.com;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
264;9;BUENOS AIRES;INST EDUC ARZOBISPO TULIO BOTERO SALAZAR;IE ;305001019690;2267300;ie.tuliobotero@medellin.gov.co;CL 49 A 03 A 006;BENJAMIN MARTINEZ LEMOS;RECTOR;2267300;BENJAMIN MARTINEZ LEMOS;RECTOR;2267300;ie.tuliobotero@medellin.gov.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
265;9;BUENOS AIRES;INST EDUC LA MILAGROSA;IE ;105001000418;2699965;ie.lamilagrosa@medellin.gov.co;CR 29 41 14;OVIDIO DE JESUS OCHOA QUINTERO;RECTOR;2699965;OVIDIO DE JESUS OCHOA QUINTERO;RECTOR;2699965;ie.lamilagrosa@medellin.gov.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
266;9;BUENOS AIRES;SEC ESC SANTO TOMAS DE AQUINO;IE ;105001000418(105001002381);2163229;ie.lamilagrosa@medellin.gov.co;CR 33 36A-28;OVIDIO DE JESUS OCHOA QUINTERO;RECTOR;2163229;OVIDIO DE JESUS OCHOA QUINTERO;RECTOR;2163229;ie.lamilagrosa@medellin.gov.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
267;9;BUENOS AIRES;INST EDUC MADRE MARIA MAZARELLO;IE ;105001001317;2167211/2167901;rectoria@iemmazzarello.edu.co contactenos@iemmazzarello.edu.co;CL 48 33 62;HNA DORIS MARCELA BEDOYA BASTIDAS;RECTOR;2167211/2167901;HNA MARIA INMACULADA ESCOBAR MORA;RECTOR;2167211/2167901;rectoria@iemmazzarello.edu.co contactenos@iemmazzarello.edu.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
268;9;BUENOS AIRES;INST EDUC FEDERICO OZANAM;IE ;105001002011;2390358.ext.103;iefedericoozanam@gmail.com secretariaacademica@iefedericoozanam.edu.co;CR 36-45-08;CARLOS ARTURO PANDALES LOZANO;RECTOR;2390358 EXT 103;CARLOS ARTURO PANDALES LOZANO;RECTOR;2390358.ext.106;iefedericoozanam@gmail.com secretariaacademica@iefedericoozanam.edu.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
269;9;BUENOS AIRES;INST EDUC MANUEL JOSE CAYZEDO;IE ;105001003221;2217929;iemanueljosecayzedo@hotmail.com;CL 50 29 82;DORA LUZ GOMEZ BETANCUR;RECTOR;2217929;DORA LUZ GOMEZ BETANCUR;RECTOR;2217929;iemanueljosecayzedo@hotmail.com;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
270;Sin registro;Sin registro;SEC LIC LEON DE GREIFF;IE ;105001003221;2697182;Sin registro;CR 30 50 16;;RECTOR;;DORA LUZ GOMEZ BETANCUR;RECTOR;2697182;Sin registro;Sin registro;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
271;9;BUENOS AIRES;INST EDUC LORETO-GABRIELA GOMEZ CARVAJAL;IE ;105001008389;2393159;i.e.loretogabrielagom@medellin.gov.co;CR 32 34 06;GUSTAVO DE JESUS HOYOS AGUDELO;RECTOR;2393159;GUSTAVO DE JESUS HOYOS AGUDELO;RECTOR;2393159;i.e.loretogabrielagom@medellin.gov.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
272;9;BUENOS AIRES;SEC ESC MERCEDES YEPES ISAZA;IE ;105001008389 (105001001333);2396564;i.e.loretogabrielagom@medellin.gov.co;CR 32 32 A 57;GUSTAVO DE JESUS HOYOS AGUDELO;RECTOR;2396564;GUSTAVO DE JESUS HOYOS AGUDELO;RECTOR;2396564;i.e.loretogabrielagom@medellin.gov.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
273;9;BUENOS AIRES;INST EDUC MERCEDITAS GOMEZ MARTINEZ;IE ;105001011070;2692880;ie.merceditasgomez@medellin.gov.co;CL 45 18 03;LUZ DARY USUGA USUGA;RECTOR;2692880;LUZ DARY USUGA USUGA;RECTOR;2692880;ie.merceditasgomez@medellin.gov.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
274;9;BUENOS AIRES;SEC ESC NUESTRA SEÑORA DEL ROSARIO;IE ;105001011070 (105001015202);2212665;ie.merceditasgomez@medellin.gov.co;CL 43E 9D-51;LUZ DARY USUGA USUGA;RECTOR;2212665;LUZ DARY USUGA USUGA;RECTOR;2212665;ie.merceditasgomez@medellin.gov.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
275;9;BUENOS AIRES;SEC ESC JUAN MANUEL GONZALEZ ARBELAEZ;IE ;105001011070 (105001000957);2167445;ie.merceditasgomez@medellin.gov.co;CL 40A 32-80;LUZ DARY USUGA USUGA;RECTOR;2167445;LUZ DARY USUGA USUGA;RECTOR;2167445;ie.merceditasgomez@medellin.gov.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
276;9;BUENOS AIRES;SEC ESC ETERNA PRIMAVERA;IE ;105001011070 (105001026026);2936127;ie.merceditasgomez@medellin.gov.co;CL 34 19 05;LUZ DARY USUGA USUGA;RECTOR;2936127;LUZ DARY USUGA USUGA;RECTOR;2936127;ie.merceditasgomez@medellin.gov.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
